281	A5	5	צפון-מזרח	132.80	8.00	16.00	4	2
282	B4	4	דרום-מזרח	114.45	8.00	13.00	4	1
283	C1	3	דרום	89.05	8.00	13.00	3	1
284	B4	4	דרום-מערב	114.45	8.00	13.00	4	1.5
285	A51	5	צפון-מערב	132.80	8.00	16.00	4	2
291	A5	5	צפון-מזרח	132.8	8	16	3	2
292	B4	4	דרום-מזרח	114.45	8.00	13.00	4	1.5
293	C1	3	דרום	89.05	8.00	13.00	4	1
294	B4	4	דרום-מערב	114.45	8.00	13.00	4	1.5
295	A5	5	צפון-מערב	132.80	8.00	16.00	4	2
301	A5	5	צפון-מזרח	132.80	8.00	16.00	5	2
302	B4	4	דרום-מזרח	114.45	8.00	13.00	4	1.5
303	C	3	דרום	89.23	8.00	13.00	4	1
304	B4	4	דרום-מערב	114.45	7.00	13.00	5	1.5
305	A5	5	צפון-מערב	132.80	8.00	16.00	4	2
311	30	5	צפון-מזרח	132.80	8.00	16.00	4	2
312	b4	4	צפון +מזרח	114.45	8.00	13.00	4	2
313	C	3	דרום	89.23		13.00	4	1
314	B4	4	דרום-מערב	114.45	8.00	13.00	5	2
315	A5	5	צפון-מערב	132.80	8.00	16.00	4	2
321	A5	5	צפון-מזרח	132.80	8.00	16.00	5	2
322	B4	4	דרום-מזרח	114.45	8.00	13.00	5	2
323	C	3	דרום	89.23	8.00	13.00	3	1
324	B4	4	דרום-מערב	114.45	7.00	13.00	5	2
325	A5	5	צפון-מערב	132.80	8.00	16.00	4	2
331	A5	5	צפון-מזרח	132.80	8.00	16.00	5	2
332	B4	4	דרום-מזרח	114.45	8.00	13.00	5	2
333	C	3	דרום	89.23	8.00	13.00	4	1
334	B4	4	דרום-מערב	114.45	7	13	5	2
335	A5	5	צפון-מערב	132.80	8.00	16.00	4	2
341	A5	5	צפון-מזרח	132.80	8.00	16.00	4	2
342	B4	4	דרום-מזרח	114.45	7.00	13.00	4	2
343	C	3	דרום	89.23	8.00	13.00	4	1
344	B4	4	דרום-מערב	114.45	7.00	13.00	5	2
345	A5	5	צפון-מערב	132.80	8.00	16.00	4	2
351	A5	5	צפון-מזרח	132.80	8.00	16.00	4	2
352	B4	4	דרום-מזרח	114.45	8.00	13.00	3	2
353	C	3	דרום	89.23	8.00	13.00	4	1
354	B4	4	דרום-מערב	114.45	7.00	13.00	4	2
355	A5	5	צפון-מערב	132.80	8.00	16.00	4	2
361	A5	5	צפון-מזרח	132.80	8.00	16.00	5	2
362	B4	4	דרום-מזרח	114.45	8.00	13.00	5	2
363	C	3	דרום	89.23	8.00	13.00	4	1
364	B4	4	דרום-מערב	114.45	7.00	13.00	4	2
365	A5	5	צפון-מערב	132.80	8.00	16.00	5	2
371	A5	5	צפון-מזרח	132.80	8.00	16.00	4+3	2
372	B4	4	דרום-מזרח	114.45	8.00	13.00	4	2
373	C	3	דרום	89.23		13.00		1
374	B4	4	דרום-מערב	114.45	8.00	13.00	4	2
375	A5	5	צפון-מערב	132.80	8.00	16.00	5	2
381	A5	5	צפון-מזרח	132.80	8.00	16.00	4	2
382	B4	4	דרום-מזרח	114.45	8.00	13.00	4	2
383	C	3	דרום	89.23	8.00	13.00	5	1
384	B4	4	דרום-מערב	114.45	7.00	13.00	4	2
385	A5	5	צפון-מערב	132.80	8.00	16.00	4	2
391	PH1	6	צפון-מזרח-מערב	215.92	6.00	78.00	4	2
392	PH2	4	דרום-מזרח	130.34	0.00	37.00	4	2
393	PH3	5	דרום-מערב-צפון	186.59	0.00	34.88		2
401	PH4	5	צפון-מזרח-מערב	166.69	3.28	70.00		2
402	PH5	5	דרום-מערב-מזרח	224.65	5.44	102.00	5	2
